;;;;;;;;;;;;;;;;;;;;;;
Día;Línea de servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
16/01/2021;LÍNEA T-A;663;1.435;1.539;1.114;646;541;517;627;1.000;1.228;1.251;1.097;1.126;1.038;938;597;412;378;175;5;16.327
16/01/2021;LÍNEA M;159;348;304;206;97;66;99;101;184;293;276;288;231;216;214;168;92;100;63;6;3.511
16/01/2021;LÍNEA H;92;241;139;66;35;20;27;46;35;28;28;27;52;26;13;17;12;6;1;;911
16/01/2021;LÍNEA O;68;341;416;266;139;132;98;136;208;221;201;160;213;206;177;107;59;50;22;;3.220
17/01/2021;LÍNEA A;2.089;6.103;6.084;3.772;2.386;2.208;2.250;2.395;2.968;3.594;4.722;4.185;5.288;5.515;5.395;4.081;3.485;2.310;88;;68.918
17/01/2021;LÍNEA B;344;911;797;521;364;351;357;345;399;404;533;502;728;756;729;499;449;250;18;;9.257
17/01/2021;LÍNEA K;;;;;102;208;219;183;272;221;207;259;354;248;259;258;248;65;3;;3.106
17/01/2021;LÍNEA J;;;;;7;163;166;147;175;117;137;165;215;216;188;156;102;36;1;;1.991
17/01/2021;LÍNEA 1;289;1.077;1.102;683;506;480;466;498;623;701;829;819;887;870;991;692;537;341;44;;12.435
17/01/2021;LÍNEA 2;;81;101;61;45;38;28;32;55;55;94;51;80;96;106;68;51;33;2;;1.077
17/01/2021;LÍNEA T-A;98;375;414;309;259;212;240;266;307;335;473;434;489;505;557;484;364;282;30;;6.433
17/01/2021;LÍNEA M;;;;;40;58;81;61;59;77;96;93;110;111;140;121;81;60;26;;1.214
17/01/2021;LÍNEA H;;;;;3;30;25;29;16;16;20;23;27;21;23;17;14;5;1;;270
17/01/2021;LÍNEA O;11;138;136;82;67;60;58;44;56;58;79;71;91;133;120;95;66;45;9;;1.419
18/01/2021;LÍNEA A;11.949;30.823;39.124;30.770;21.003;18.281;16.638;16.258;17.801;17.878;22.587;24.573;37.137;49.934;39.371;21.509;13.432;10.699;4.351;17;444.135
18/01/2021;LÍNEA B;2.186;5.206;5.720;4.595;3.233;2.830;2.529;2.501;2.648;2.404;2.762;3.170;4.399;6.243;4.810;2.710;1.995;1.478;508;3;61.930
18/01/2021;LÍNEA K;1.603;2.203;2.051;1.626;1.259;1.000;893;870;878;807;666;589;658;590;543;426;483;203;53;1;17.402
18/01/2021;LÍNEA J;881;1.547;1.533;1.241;859;704;583;520;593;467;419;430;480;526;423;263;190;90;17;;11.766
18/01/2021;LÍNEA 1;2.045;5.370;6.655;5.679;4.069;3.558;3.213;2.900;3.183;3.070;3.682;4.045;5.289;6.677;5.722;3.517;2.236;1.647;785;22;73.364
18/01/2021;LÍNEA 2;74;404;519;482;388;432;492;489;555;489;559;746;1.006;1.169;1.002;703;361;216;100;;10.186
18/01/2021;LÍNEA T-A;864;2.203;2.717;2.281;1.599;1.490;1.414;1.363;1.600;1.417;1.666;1.947;2.448;3.192;2.841;785;1.434;1.060;617;13;32.951
18/01/2021;LÍNEA M;237;563;533;370;220;230;202;188;249;173;264;314;442;634;772;177;363;232;132;17;6.312
18/01/2021;LÍNEA H;150;354;256;155;122;82;79;61;62;61;64;54;58;46;30;18;27;4;1;;1.684
18/01/2021;LÍNEA O;110;488;766;571;351;311;233;240;227;234;271;279;517;670;593;357;270;232;73;4;6.797
19/01/2021;LÍNEA A;12.029;30.340;38.820;30.594;20.147;17.032;15.342;15.207;17.071;16.792;21.277;23.458;37.232;50.655;38.690;21.487;13.582;10.468;4.496;10;434.729
19/01/2021;LÍNEA B;2.147;5.130;5.652;4.584;3.239;2.589;2.406;2.371;2.545;2.391;2.679;3.072;4.230;6.301;4.611;2.754;1.965;1.467;627;2;60.762
19/01/2021;LÍNEA K;1.619;2.153;2.089;1.612;1.153;938;833;856;943;687;609;635;707;708;476;356;469;200;67;1;17.111
19/01/2021;LÍNEA J;889;1.529;1.566;1.285;758;681;537;480;533;429;391;404;475;453;450;250;206;98;17;2;11.433
19/01/2021;LÍNEA L;;;;;5;89;82;63;93;74;61;117;104;98;;;;;;;786
19/01/2021;LÍNEA 1;1.982;5.311;6.593;5.808;4.026;3.362;3.036;2.792;2.976;2.854;3.502;3.962;5.282;6.613;5.889;3.485;2.371;1.763;831;18;72.456
