Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
7/01/2022;LÍNEA M;192;528;565;410;246;239;186;262;234;267;254;274;442;679;616;577;306;224;201;50;6.752
7/01/2022;LÍNEA O;150;535;851;824;469;406;375;384;421;402;427;676;677;818;619;451;306;379;166;9;9.345
7/01/2022;LÍNEA P;707;1.300;1.459;1.180;665;558;540;551;650;484;481;233;423;398;362;299;284;143;86;3;10.806
7/01/2022;LÍNEA T-A;841;2.129;2.894;2.417;1.691;1.580;1.548;1.600;1.722;1.715;2.067;2.340;2.794;3.409;2.967;2.096;1.519;1.101;822;65;37.317
8/01/2022;LÍNEA 1;1.763;3.831;4.602;4.922;3.661;3.067;3.269;3.419;4.398;4.326;4.594;4.075;4.044;3.507;3.305;2.949;2.238;2.064;1.299;69;65.402
8/01/2022;LÍNEA 2;99;396;415;528;404;515;578;735;913;895;862;790;890;764;755;631;408;352;163;1;11.094
8/01/2022;LÍNEA A;9.672;20.466;24.672;22.416;17.340;13.440;16.923;19.950;27.871;30.421;31.946;27.621;26.248;23.851;22.635;18.677;13.952;13.744;8.007;72;389.924
8/01/2022;LÍNEA B;1.774;3.397;3.774;3.886;2.854;2.886;3.099;3.412;4.251;4.433;4.347;4.460;4.555;3.713;3.304;2.633;2.005;1.566;844;15;61.208
8/01/2022;LÍNEA H;92;222;225;187;125;111;91;76;97;88;72;56;88;45;47;33;40;26;5;4;1.730
8/01/2022;LÍNEA J;646;1.198;1.259;1.175;954;718;642;734;796;663;672;626;639;363;481;433;315;199;84;2;12.599
8/01/2022;LÍNEA K;1.455;2.223;2.121;1.786;1.259;1.072;989;1.120;1.221;1.154;1.135;1.289;1.519;1.259;781;789;601;429;169;3;22.374
8/01/2022;LÍNEA L;;;;;20;200;293;612;513;579;593;613;599;271;;;;;;;4.293
8/01/2022;LÍNEA M;177;455;462;360;250;231;246;222;350;360;469;387;418;376;417;396;307;269;214;49;6.415
8/01/2022;LÍNEA O;122;448;594;592;395;393;410;387;524;482;485;427;456;431;408;320;320;367;151;9;7.721
8/01/2022;LÍNEA P;579;1.000;1.077;893;605;445;445;509;621;483;537;504;586;374;398;385;380;256;113;1;10.191
8/01/2022;LÍNEA T-A;771;1.637;2.121;1.990;1.558;1.313;1.566;1.625;2.098;2.294;2.273;2.228;2.241;1.956;2.016;1.698;1.418;1.223;897;63;32.986
9/01/2022;LÍNEA 1;410;1.411;1.631;1.653;1.608;1.907;2.137;2.132;2.137;2.252;2.498;2.252;2.289;2.566;2.799;2.246;2.127;1.683;309;;36.047
9/01/2022;LÍNEA 2;8;142;157;156;154;176;285;299;313;401;352;290;352;336;388;343;269;175;22;;4.618
9/01/2022;LÍNEA A;2.837;8.618;10.394;8.970;8.857;10.600;12.204;12.237;12.658;13.764;15.776;15.325;15.946;17.737;17.167;14.562;13.882;11.153;1.188;;223.875
9/01/2022;LÍNEA B;552;1.341;1.548;1.578;1.760;2.078;2.208;2.366;2.526;2.651;3.064;3.217;3.020;3.525;3.416;2.461;1.781;1.386;130;;40.608
9/01/2022;LÍNEA H;;;;;2;90;76;73;74;56;72;56;46;63;83;37;31;28;4;;791
9/01/2022;LÍNEA J;;;;;28;738;601;615;583;625;523;617;662;639;671;471;345;155;2;;7.275
9/01/2022;LÍNEA K;;;;;532;1.097;1.088;1.028;1.105;1.115;1.316;1.440;1.494;1.639;1.082;845;547;331;22;;14.681
9/01/2022;LÍNEA L;;;;;189;402;676;760;775;662;754;797;832;581;;;;;;;6.428
9/01/2022;LÍNEA M;;;;;1;247;192;209;241;299;325;327;373;371;396;268;260;236;138;;3.883
9/01/2022;LÍNEA O;13;224;266;221;165;215;281;222;213;239;264;243;317;329;314;308;234;232;23;;4.323
9/01/2022;LÍNEA P;;;;;41;530;522;479;541;524;503;537;556;583;585;417;315;158;13;;6.304
9/01/2022;LÍNEA T-A;114;529;757;683;680;986;1.177;1.124;1.267;1.372;1.454;1.459;1.621;1.700;1.647;1.456;1.287;1.099;313;;20.725
10/01/2022;LÍNEA 1;492;1.507;1.729;1.699;1.315;1.548;1.730;1.819;1.649;1.961;2.437;2.345;2.569;2.566;2.555;2.024;2.231;1.489;219;;33.884
10/01/2022;LÍNEA 2;12;185;168;159;159;200;249;237;242;273;344;323;368;380;414;322;275;185;13;;4.508
10/01/2022;LÍNEA A;2.849;9.119;10.389;8.938;7.678;8.346;9.832;10.630;10.876;12.006;14.703;14.477;16.447;17.450;17.235;13.672;13.379;9.922;720;;208.668
10/01/2022;LÍNEA B;544;1.431;1.610;1.584;1.282;1.521;1.958;1.960;2.029;2.264;2.501;2.525;2.808;2.942;2.845;2.418;1.821;1.150;91;;35.284
10/01/2022;LÍNEA H;;;;;1;66;66;80;62;77;55;49;67;49;49;71;33;12;;;737
10/01/2022;LÍNEA J;;;;;24;590;576;543;532;475;517;522;535;612;579;507;294;149;1;;6.456
10/01/2022;LÍNEA K;;;;;437;788;863;962;897;892;850;1.117;1.362;1.371;897;783;620;254;17;;12.110
10/01/2022;LÍNEA L;;;;;117;238;536;608;558;459;406;504;549;376;;;;;;;4.351
10/01/2022;LÍNEA M;;;;;;206;183;178;225;279;299;377;343;373;362;345;298;224;101;;3.793
10/01/2022;LÍNEA O;18;258;288;202;189;182;241;244;212;219;261;306;311;344;317;321;262;232;33;;4.440
10/01/2022;LÍNEA P;;;;;24;419;418;421;363;358;426;518;560;531;523;486;324;175;4;;5.550
10/01/2022;LÍNEA T-A;151;563;720;659;562;834;997;981;1.076;1.202;1.362;1.393;1.570;1.677;1.581;1.408;1.256;1.029;219;;19.240
11/01/2022;LÍNEA 1;2.396;6.068;8.372;7.596;4.958;4.325;3.917;3.894;3.959;3.961;4.455;5.030;6.345;8.624;6.390;3.573;1.621;1.915;1.061;33;88.493
11/01/2022;LÍNEA 2;126;579;795;733;655;765;780;920;875;877;992;1.178;1.550;1.878;1.401;877;490;334;149;2;15.956
11/01/2022;LÍNEA A;13.361;33.106;44.901;36.438;24.159;21.161;20.425;20.181;22.544;23.192;29.178;30.057;45.365;60.096;43.612;23.443;14.384;11.615;6.388;37;523.643
11/01/2022;LÍNEA B;2.521;5.518;6.841;5.840;3.960;3.642;3.434;3.146;3.717;3.532;3.840;4.176;5.677;7.879;5.471;2.975;2.013;1.453;800;4;76.439
11/01/2022;LÍNEA H;140;346;344;174;127;131;111;78;87;97;63;81;59;71;34;19;26;6;4;;1.998
11/01/2022;LÍNEA J;1.095;2.007;1.932;1.764;1.044;822;708;640;692;563;513;465;635;474;402;246;250;123;26;3;14.404
11/01/2022;LÍNEA K;2.151;2.977;2.728;2.234;1.608;1.217;1.182;1.137;1.315;970;726;680;860;681;459;443;532;189;92;;22.181
11/01/2022;LÍNEA M;247;648;648;425;289;247;239;231;265;281;268;413;469;832;828;666;347;205;197;53;7.798
11/01/2022;LÍNEA O;146;631;1.082;948;564;505;339;395;448;405;525;538;796;1.091;767;485;340;321;155;7;10.488
11/01/2022;LÍNEA P;812;1.677;1.847;1.325;725;610;589;495;614;544;524;410;516;480;333;277;304;144;81;2;12.309
11/01/2022;LÍNEA T-A;1.020;2.513;3.327;1.892;2.069;1.701;1.735;1.617;1.763;1.794;2.003;2.462;3.115;3.990;3.516;2.230;1.438;1.156;820;27;40.188
12/01/2022;LÍNEA 1;2.394;6.172;8.445;7.473;4.944;4.287;3.759;3.601;4.166;4.051;4.400;4.989;6.438;8.627;6.729;3.786;2.428;1.931;1.206;39;89.865
12/01/2022;LÍNEA 2;128;588;778;752;645;748;712;812;857;819;997;1.199;1.559;1.866;1.440;907;480;356;132;2;15.777
12/01/2022;LÍNEA A;13.273;33.405;44.728;36.727;23.208;20.809;19.507;19.656;21.867;21.682;27.968;29.363;45.422;60.687;45.270;24.644;15.162;12.050;6.954;34;522.416
12/01/2022;LÍNEA B;2.506;5.609;7.009;5.876;3.957;3.572;3.240;3.210;3.726;3.391;3.789;4.176;5.692;7.990;5.536;3.325;2.274;1.593;922;8;77.401
12/01/2022;LÍNEA H;146;331;359;200;110;107;100;90;81;116;49;79;50;54;41;14;35;9;1;;1.972
