Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
5/10/2024;LÍNEA 2;144,00;548,00;664,00;803,00;645;732;876;1.084;1.479;1.355;1.267;1.227;1.215;1.249;1.072,00;791,00;595,00;469,00;222,00;11,00;16.448
5/10/2024;LÍNEA A;12.578,00;28.749,00;35.618,00;35.382,00;26.697;24.598;24.594;29.695;46.074;45.066;42.673;36.421;36.446;33.724;29.886,00;23.578,00;17.421,00;16.019,00;8.763,00;124,00;554.106
5/10/2024;LÍNEA B;2.325,00;4.659,00;5.274,00;5.314,00;4.338;3.963;4.335;4.803;6.415;6.180;6.185;5.182;5.071;4.814;4.016,00;2.778,00;2.432,00;2.000,00;1.144,00;13,00;81.241
5/10/2024;LÍNEA H;131,00;399,00;344,00;254,00;202;133;162;144;136;114;97;107;111;23;56,00;80,00;39,00;36,00;19,00;;2.587
5/10/2024;LÍNEA J;970,00;1.697,00;1.908,00;1.677,00;1.139;973;895;916;884;764;841;701;721;635;514,00;447,00;406,00;295,00;142,00;2,00;16.527
5/10/2024;LÍNEA K;1.723,00;2.463,00;2.356,00;2.070,00;1.532;1.249;1.200;1.133;1.205;1.088;1.057;983;1.005;948;722,00;665,00;587,00;496,00;224,00;1,00;22.707
5/10/2024;LÍNEA L;;;;;37;124;110;169;135;128;126;109;194;165;;;;;;;1.297
5/10/2024;LÍNEA M;286,00;639,00;721,00;577,00;379;332;364;333;539;663;680;665;666;322;570,00;451,00;368,00;315,00;333,00;44,00;9.247
5/10/2024;LÍNEA O;220,00;779,00;990,00;1.281,00;835;806;642;913;946;855;828;656;706;717;577,00;529,00;417,00;427,00;212,00;13,00;13.349
5/10/2024;LÍNEA P;854,00;1.869,00;1.985,00;1.751,00;1.212;886;946;930;983;917;824;774;696;712;587,00;466,00;492,00;421,00;244,00;5,00;17.554
5/10/2024;LÍNEA T-A;1.118,00;2.640,00;3.367,00;3.873,00;2.562;2.405;2.471;2.769;3.694;3.693;3.636;3.265;3.514;2.692;2.877,00;2.383,00;1.911,00;1.676,00;1.267,00;84,00;51.897
6/10/2024;LÍNEA 1;489,00;1.620,00;1.968,00;2.073,00;2.039;2.436;2.644;2.481;2.756;2.797;2.971;2.606;2.842;3.053;2.848,00;2.276,00;2.309,00;1.978,00;253,00;;42.439
6/10/2024;LÍNEA 2;2,00;199,00;214,00;303,00;207;342;516;399;583;584;549;398;485;543;459,00;417,00;321,00;260,00;21,00;;6.802
6/10/2024;LÍNEA A;3.822,00;10.966,00;12.821,00;11.165,00;11.336;12.859;13.907;13.984;15.893;18.021;19.883;17.913;19.599;20.073;19.886,00;15.927,00;15.200,00;11.841,00;744,00;;265.840
6/10/2024;LÍNEA B;732,00;1.622,00;1.853,00;1.790,00;1.904;2.304;2.395;2.633;2.731;3.015;3.314;2.715;2.856;5.088;3.397,00;2.428,00;2.048,00;1.567,00;144,00;;44.536
6/10/2024;LÍNEA H;;;;;;149;122;108;98;82;84;60;81;88;89,00;54,00;56,00;27,00;;;1.098
6/10/2024;LÍNEA J;;;;;;956;752;662;695;716;620;729;657;594;582,00;525,00;396,00;208,00;19,00;;8.111
6/10/2024;LÍNEA K;;;;;552;1.043;990;982;1.031;947;937;930;1.092;1.194;902,00;739,00;653,00;352,00;26,00;;12.370
6/10/2024;LÍNEA L;;;;;77;194;309;282;258;240;264;208;313;325;;;;;;;2.470
6/10/2024;LÍNEA M;;;;;;278;273;296;297;375;378;426;422;514;413,00;443,00;402,00;301,00;135,00;;4.953
6/10/2024;LÍNEA O;32,00;335,00;309,00;339,00;321;311;329;328;333;364;376;350;419;500;462,00;373,00;409,00;286,00;45,00;;6.221
6/10/2024;LÍNEA P;;;;;35;701;653;682;612;596;631;596;703;542;608,00;463,00;547,00;300,00;16,00;;7.685
6/10/2024;LÍNEA T-A;180,00;771,00;1.042,00;1.044,00;984;1.261;1.586;1.518;1.571;1.819;1.987;1.743;1.963;1.935;2.028,00;1.880,00;1.663,00;1.362,00;283,00;;26.620
7/10/2024;LÍNEA 1;3.061,00;7.820,00;10.232,00;9.482,00;6.027;4.987;4.139;4.646;4.790;4.636;5.136;5.897;8.014;10.771;7.008,00;4.677,00;3.015,00;2.228,00;1.283,00;33,00;107.882
7/10/2024;LÍNEA 2;191,00;799,00;1.034,00;1.053,00;911;933;1.035;1.079;1.106;997;1.189;1.404;1.902;2.129;1.884,00;1.224,00;808,00;435,00;180,00;2,00;20.295
7/10/2024;LÍNEA A;16.895,00;47.408,00;62.307,00;52.206,00;31.914;27.159;24.013;25.734;28.684;27.747;34.394;37.239;61.495;80.644;57.314,00;31.920,00;19.498,00;15.461,00;7.908,00;30,00;689.970
7/10/2024;LÍNEA B;3.064,00;7.751,00;8.572,00;7.899,00;5.019;4.431;4.073;4.219;4.413;4.364;4.434;5.061;7.355;10.978;6.312,00;3.673,00;2.811,00;2.000,00;960,00;3,00;97.392
7/10/2024;LÍNEA H;215,00;605,00;439,00;289,00;167;149;102;83;109;88;70;71;87;48;35,00;33,00;24,00;10,00;2,00;;2.626
7/10/2024;LÍNEA J;1.441,00;2.502,00;2.385,00;1.943,00;1.366;914;824;776;791;682;568;527;677;499;358,00;256,00;216,00;90,00;31,00;;16.846
7/10/2024;LÍNEA K;2.289,00;2.713,00;2.591,00;2.101,00;1.519;1.242;1.044;1.041;1.209;855;702;688;910;851;297,00;480,00;460,00;173,00;62,00;;21.227
7/10/2024;LÍNEA L;;;;;;27;41;47;64;47;52;45;49;44;;;;;;;416
7/10/2024;LÍNEA M;397,00;933,00;867,00;653,00;393;277;274;334;319;300;379;523;677;720;814,00;1.006,00;460,00;312,00;276,00;36,00;9.950
7/10/2024;LÍNEA O;271,00;1.434,00;1.595,00;1.790,00;899;1.015;504;819;842;921;852;973;1.323;1.791;1.074,00;1.082,00;700,00;841,00;219,00;8,00;18.953
7/10/2024;LÍNEA P;1.219,00;3.229,00;3.091,00;2.158,00;1.234;932;817;1.349;1.077;753;693;668;789;1.273;409,00;343,00;605,00;353,00;105,00;1,00;21.098
7/10/2024;LÍNEA T-A;1.422,00;3.855,00;4.616,00;4.430,00;2.872;2.492;2.209;2.394;2.569;2.408;2.681;3.005;4.261;5.443;5.078,00;3.295,00;2.220,00;1.623,00;1.039,00;30,00;57.942
8/10/2024;LÍNEA 1;2.939,00;8.147,00;10.539,00;9.785,00;6.312;5.273;4.368;4.569;4.894;4.972;5.196;5.868;8.820;11.133;7.892,00;4.471,00;3.309,00;2.807,00;1.282,00;36,00;112.612
8/10/2024;LÍNEA 2;195,00;861,00;1.042,00;1.086,00;891;873;987;991;1.071;1.078;1.156;1.342;1.952;2.292;1.727,00;1.124,00;933,00;546,00;192,00;3,00;20.342
8/10/2024;LÍNEA A;16.585,00;48.427,00;63.691,00;54.693,00;33.728;28.357;25.512;26.476;29.578;30.275;34.198;37.300;65.425;86.656;57.411,00;29.482,00;21.156,00;17.080,00;8.658,00;37,00;714.725
8/10/2024;LÍNEA B;3.107,00;7.945,00;8.614,00;8.581,00;5.306;4.636;4.106;4.180;4.653;4.459;4.686;4.818;7.761;10.917;6.800,00;3.595,00;3.338,00;2.357,00;1.111,00;8,00;100.978
8/10/2024;LÍNEA H;204,00;619,00;490,00;302,00;176;129;108;90;117;74;66;74;67;68;45,00;38,00;21,00;5,00;9,00;;2.702
8/10/2024;LÍNEA J;1.390,00;2.527,00;2.304,00;2.107,00;1.380;882;720;806;790;618;562;320;640;566;380,00;229,00;231,00;90,00;34,00;;16.576
8/10/2024;LÍNEA K;2.354,00;2.786,00;2.568,00;2.194,00;1.620;1.228;977;1.047;1.206;1.005;820;655;983;803;476,00;443,00;455,00;178,00;70,00;;21.868
8/10/2024;LÍNEA L;;;;;5;100;124;161;142;167;145;130;125;112;;;;;;;1.211
8/10/2024;LÍNEA M;397,00;930,00;904,00;673,00;427;364;329;270;331;298;403;418;658;1.000;712,00;1.047,00;525,00;326,00;335,00;29,00;10.376
8/10/2024;LÍNEA O;262,00;1.473,00;1.735,00;1.908,00;1.065;1.065;757;900;961;1.007;915;713;1.532;1.749;1.342,00;896,00;899,00;874,00;275,00;7,00;20.335
8/10/2024;LÍNEA P;1.234,00;3.272,00;3.141,00;2.339,00;1.330;1.015;833;1.344;1.074;756;618;390;919;1.202;537,00;320,00;601,00;469,00;100,00;1,00;21.495
8/10/2024;LÍNEA T-A;1.430,00;4.128,00;4.879,00;4.934,00;3.110;2.674;2.371;2.427;2.907;2.745;2.950;3.248;4.751;5.862;4.474,00;3.238,00;2.352,00;1.879,00;1.151,00;33,00;61.543
9/10/2024;LÍNEA 1;2.975,00;8.241,00;10.518,00;9.748,00;6.240;5.381;4.352;4.688;4.947;4.962;5.192;5.785;8.202;10.270;7.277,00;4.761,00;3.163,00;2.509,00;1.429,00;39,00;110.679
9/10/2024;LÍNEA 2;210,00;842,00;1.061,00;1.081,00;821;842;927;1.084;1.073;1.102;1.183;1.405;1.990;2.034;1.686,00;1.197,00;928,00;499,00;236,00;4,00;20.205
9/10/2024;LÍNEA A;16.440,00;48.081,00;63.382,00;54.733,00;33.490;28.864;25.309;26.621;29.828;29.543;34.982;40.914;67.811;86.715;57.773,00;31.743,00;21.555,00;17.474,00;9.098,00;59,00;724.415
9/10/2024;LÍNEA B;3.013,00;7.799,00;8.990,00;8.348,00;5.255;4.907;4.326;4.566;4.771;4.663;4.673;5.627;8.196;11.308;7.214,00;4.145,00;3.169,00;2.790,00;1.386,00;8,00;105.154
9/10/2024;LÍNEA H;196,00;590,00;450,00;285,00;167;131;106;89;77;107;84;54;105;46;46,00;40,00;29,00;10,00;5,00;;2.617
9/10/2024;LÍNEA J;1.398,00;2.468,00;2.239,00;2.195,00;1.404;1.011;805;839;864;645;529;574;738;586;355,00;304,00;251,00;108,00;26,00;3,00;17.342
9/10/2024;LÍNEA K;2.338,00;2.760,00;2.615,00;2.185,00;1.650;1.216;1.026;1.104;1.379;948;897;801;1.026;1.001;535,00;486,00;513,00;226,00;66,00;1,00;22.773
9/10/2024;LÍNEA L;;;;;24;183;204;196;185;258;197;160;80;152;;;;;;;1.639
9/10/2024;LÍNEA M;398,00;901,00;889,00;654,00;372;356;312;311;302;385;380;599;688;1.046;1.117,00;830,00;491,00;375,00;321,00;44,00;10.771
9/10/2024;LÍNEA O;272,00;1.403,00;1.653,00;1.942,00;1.085;1.126;741;925;932;1.020;929;1.225;1.364;1.660;1.235,00;1.046,00;805,00;960,00;265,00;13,00;20.601
9/10/2024;LÍNEA P;1.275,00;3.255,00;3.135,00;2.316,00;1.359;973;847;1.289;1.090;761;614;730;975;1.263;571,00;409,00;623,00;479,00;108,00;;22.072
9/10/2024;LÍNEA T-A;1.418,00;4.197,00;4.911,00;4.917,00;3.057;2.737;2.371;2.562;2.250;2.917;2.914;3.393;4.603;5.671;5.105,00;3.269,00;2.400,00;2.019,00;1.230,00;54,00;61.995
10/10/2024;LÍNEA 1;2.900,00;7.778,00;10.308,00;10.007,00;6.338;5.291;4.344;4.292;4.867;4.780;5.518;6.029;7.971;10.479;7.322,00;4.334,00;3.238,00;2.699,00;1.507,00;65,00;110.067
10/10/2024;LÍNEA 2;189,00;792,00;1.018,00;1.136,00;787;897;888;950;21;;;5;1.664;2.148;1.574,00;1.108,00;878,00;515,00;230,00;5,00;14.805
10/10/2024;LÍNEA A;16.182,00;44.510,00;61.195,00;56.880,00;34.304;28.877;25.423;26.699;30.781;30.407;37.748;39.552;60.376;84.746;55.635,00;30.203,00;21.809,00;17.328,00;9.582,00;67,00;712.304
10/10/2024;LÍNEA B;3.007,00;7.356,00;8.747,00;8.434,00;5.341;4.564;4.123;4.322;4.892;4.823;4.798;5.227;7.428;11.014;6.723,00;4.069,00;4.809,00;3.120,00;1.278,00;13,00;104.088
10/10/2024;LÍNEA H;204,00;562,00;496,00;263,00;178;133;86;97;108;64;65;67;66;54;34,00;38,00;17,00;14,00;2,00;;2.548
10/10/2024;LÍNEA J;1.413,00;2.255,00;2.138,00;2.083,00;1.390;977;790;748;895;674;576;514;637;684;448,00;342,00;266,00;130,00;40,00;1,00;17.001
10/10/2024;LÍNEA K;2.243,00;2.694,00;2.532,00;2.219,00;1.767;1.321;1.062;1.151;1.340;1.046;737;726;998;1.001;607,00;451,00;504,00;225,00;93,00;1,00;22.718
10/10/2024;LÍNEA L;;;;;;87;77;104;122;121;151;80;90;126;;;;;;;958
10/10/2024;LÍNEA M;357,00;834,00;922,00;712,00;424;340;303;312;383;256;371;564;634;985;1.181,00;785,00;505,00;375,00;325,00;47,00;10.615
10/10/2024;LÍNEA O;257,00;1.277,00;1.546,00;1.504,00;1.111;935;614;770;856;933;958;1.012;1.295;1.658;1.159,00;932,00;829,00;824,00;271,00;23,00;18.764
10/10/2024;LÍNEA P;1.236,00;2.959,00;2.750,00;2.339,00;1.354;936;820;1.264;1.173;774;732;643;793;1.160;605,00;438,00;679,00;434,00;135,00;1,00;21.225
10/10/2024;LÍNEA T-A;1.299,00;3.878,00;4.901,00;4.934,00;3.114;2.588;2.300;2.496;2.806;1.480;2.978;3.405;4.363;5.600;5.028,00;3.108,00;2.471,00;1.985,00;1.276,00;47,00;60.057
11/10/2024;LÍNEA 1;2.946,00;7.852,00;9.981,00;9.039,00;6.010;5.137;4.316;4.712;4.861;4.947;5.551;6.314;8.339;9.305;7.164,00;4.634,00;3.488,00;2.829,00;1.649,00;63,00;109.137
11/10/2024;LÍNEA 2;200,00;847,00;989,00;1.124,00;803;850;915;1.053;1.029;1.101;1.242;1.558;1.859;2.028;1.665,00;1.176,00;762,00;613,00;283,00;14,00;20.111
11/10/2024;LÍNEA A;16.268,00;45.534,00;60.234,00;50.516,00;32.164;27.663;25.053;26.561;30.247;30.668;37.383;45.093;65.607;73.755;52.666,00;33.365,00;22.632,00;19.722,00;10.993,00;106,00;706.230
11/10/2024;LÍNEA B;2.976,00;7.534,00;8.600,00;7.639,00;4.904;4.799;4.147;4.396;5.059;4.665;4.808;6.098;7.842;9.563;6.923,00;4.279,00;3.356,00;2.630,00;1.412,00;15,00;101.645
11/10/2024;LÍNEA H;218,00;589,00;453,00;286,00;167;114;98;110;101;87;77;83;89;64;54,00;38,00;21,00;27,00;5,00;;2.681
11/10/2024;LÍNEA J;1.368,00;2.278,00;2.217,00;2.102,00;1.365;992;890;864;869;688;643;600;735;553;512,00;381,00;332,00;163,00;89,00;;17.641
11/10/2024;LÍNEA K;2.237,00;2.754,00;2.656,00;2.224,00;1.679;1.271;1.123;1.156;1.245;988;948;904;995;1.056;701,00;568,00;613,00;266,00;117,00;;23.501
11/10/2024;LÍNEA L;;;;;3;167;224;223;219;254;160;176;168;239;;;;;;;1.833
11/10/2024;LÍNEA M;364,00;941,00;888,00;632,00;412;327;317;302;348;319;405;577;754;986;1.089,00;670,00;528,00;437,00;356,00;46,00;10.698
11/10/2024;LÍNEA O;251,00;1.145,00;1.600,00;1.676,00;960;881;676;835;845;844;814;899;1.224;1.228;1.122,00;780,00;725,00;730,00;313,00;19,00;17.567
11/10/2024;LÍNEA P;1.246,00;3.261,00;2.933,00;2.272,00;1.303;1.002;828;1.258;984;724;677;752;862;1.139;645,00;478,00;641,00;499,00;168,00;6,00;21.678
11/10/2024;LÍNEA T-A;1.368,00;3.938,00;4.506,00;4.438,00;3.020;2.590;2.354;2.382;2.782;2.700;2.997;3.297;4.751;5.143;4.521,00;3.353,00;2.475,00;2.066,00;1.418,00;58,00;60.157
12/10/2024;LÍNEA 1;2.202,00;4.938,00;5.799,00;6.193,00;4.699;4.231;4.137;4.478;6.053;5.849;5.414;4.792;4.366;4.171;3.913,00;3.257,00;2.511,00;2.110,00;1.173,00;52,00;80.338
12/10/2024;LÍNEA 2;148,00;521,00;613,00;734,00;650;676;808;941;1.200;1.203;1.108;1.063;1.021;1.108;975,00;804,00;558,00;493,00;202,00;8,00;14.834
12/10/2024;LÍNEA A;12.556,00;28.575,00;34.084,00;31.921,00;24.557;23.260;23.997;28.923;43.440;42.904;39.720;34.760;32.641;32.859;30.615,00;22.875,00;16.541,00;15.269,00;7.922,00;121,00;527.540
12/10/2024;LÍNEA B;2.231,00;4.696,00;5.041,00;4.958,00;3.951;3.995;4.114;4.637;6.377;5.930;5.715;5.184;5.037;4.715;4.424,00;3.057,00;2.242,00;1.983,00;1.304,00;19,00;79.610
12/10/2024;LÍNEA H;156,00;398,00;346,00;247,00;167;132;127;124;110;128;103;109;84;56;84,00;44,00;43,00;32,00;11,00;2,00;2.503
12/10/2024;LÍNEA J;966,00;1.735,00;1.853,00;1.623,00;1.163;916;930;981;953;725;714;676;719;584;517,00;483,00;430,00;253,00;129,00;2,00;16.352
12/10/2024;LÍNEA K;1.791,00;2.478,00;2.412,00;1.967,00;1.453;1.273;1.244;1.201;1.300;999;1.019;1.094;1.058;1.096;934,00;655,00;579,00;430,00;220,00;2,00;23.205
12/10/2024;LÍNEA L;;;;;22;130;174;269;280;237;258;272;244;307;;;;;;;2.193
12/10/2024;LÍNEA M;304,00;668,00;642,00;488,00;381;296;314;352;521;563;744;627;612;546;518,00;522,00;397,00;357,00;313,00;57,00;9.222
12/10/2024;LÍNEA O;203,00;753,00;966,00;1.180,00;749;681;602;719;915;806;662;598;579;655;588,00;471,00;391,00;392,00;198,00;13,00;12.121
12/10/2024;LÍNEA P;938,00;1.894,00;1.952,00;1.631,00;1.019;949;890;860;966;756;887;793;767;711;594,00;550,00;538,00;460,00;256,00;3,00;17.414
12/10/2024;LÍNEA T-A;1.123,00;2.603,00;3.166,00;3.247,00;2.366;2.161;2.187;2.579;3.499;3.505;3.460;3.114;3.007;2.911;2.796,00;2.314,00;1.878,00;1.663,00;1.129,00;75,00;48.783
13/10/2024;LÍNEA 1;474,00;1.642,00;1.879,00;2.074,00;1.940;2.343;2.458;2.366;2.413;2.581;2.686;2.549;2.787;2.545;2.626,00;2.109,00;1.930,00;1.605,00;246,00;;39.253
13/10/2024;LÍNEA 2;12,00;163,00;176,00;281,00;199;348;437;356;488;532;433;401;505;463;425,00;467,00;293,00;166,00;25,00;;6.170
13/10/2024;LÍNEA A;3.858,00;12.226,00;12.884,00;11.422,00;11.307;12.799;14.242;14.256;14.972;16.615;17.870;17.357;18.584;19.580;18.342,00;14.352,00;13.399,00;10.780,00;886,00;;255.731
13/10/2024;LÍNEA B;653,00;1.653,00;1.883,00;1.909,00;2.072;2.509;2.656;2.867;3.019;3.127;3.075;2.852;3.055;3.086;3.150,00;2.308,00;1.878,00;1.510,00;219,00;;43.481
13/10/2024;LÍNEA H;;;;;;113;111;80;76;101;83;64;72;59;55,00;48,00;41,00;36,00;3,00;;942
13/10/2024;LÍNEA J;;;;;;963;731;678;578;662;632;533;712;542;555,00;460,00;336,00;247,00;16,00;;7.645
13/10/2024;LÍNEA K;;;;;532;1.028;1.068;956;1.002;1.006;935;1.072;1.262;1.297;822,00;597,00;496,00;352,00;23,00;;12.448
13/10/2024;LÍNEA L;;;;;82;242;439;511;417;348;339;448;491;547;;;;;;;3.864
13/10/2024;LÍNEA M;;;;;;339;270;279;302;392;315;377;406;362;394,00;355,00;372,00;297,00;145,00;;4.605
13/10/2024;LÍNEA O;32,00;357,00;283,00;286,00;268;320;348;308;326;350;339;355;393;452;420,00;403,00;372,00;275,00;53,00;;5.940
13/10/2024;LÍNEA P;;;;;17;820;655;678;699;703;615;647;663;513;528,00;401,00;541,00;385,00;12,00;;7.877
13/10/2024;LÍNEA T-A;186,00;771,00;939,00;1.011,00;1.009;1.410;1.557;1.441;1.583;1.741;1.845;1.740;1.864;1.716;1.753,00;1.572,00;1.408,00;1.221,00;345,00;;25.112
14/10/2024;LÍNEA 1;603,00;1.829,00;1.929,00;1.781,00;1.426;1.686;1.869;1.833;1.930;2.293;2.509;2.695;2.877;2.638;2.470,00;2.195,00;1.934,00;1.477,00;201,00;;36.175
14/10/2024;LÍNEA 2;7,00;227,00;218,00;233,00;166;298;289;332;301;307;384;389;393;422;402,00;409,00;263,00;175,00;22,00;;5.237
14/10/2024;LÍNEA A;4.062,00;11.971,00;12.540,00;10.405,00;8.845;9.394;11.146;11.443;12.276;14.092;16.989;17.595;19.462;20.262;18.456,00;14.677,00;14.221,00;10.891,00;648,00;;239.375
14/10/2024;LÍNEA B;803,00;1.744,00;1.941,00;1.665,00;1.699;1.698;1.999;2.078;2.197;2.275;2.692;2.705;2.912;2.879;2.446,00;2.209,00;1.653,00;1.299,00;132,00;;37.026
14/10/2024;LÍNEA H;;;;;;91;59;68;85;83;61;52;83;90;69,00;32,00;30,00;16,00;2,00;;821
14/10/2024;LÍNEA J;;;;;20;656;565;558;524;527;568;647;627;527;545,00;449,00;374,00;166,00;10,00;;6.763
14/10/2024;LÍNEA K;;;;;408;784;824;732;745;881;832;863;1.225;1.030;736,00;624,00;569,00;277,00;18,00;;10.548
14/10/2024;LÍNEA L;;;;;38;123;215;257;243;206;186;205;305;255;6,00;;;;;;2.039
14/10/2024;LÍNEA M;;;;;;247;195;250;230;245;324;383;406;384;442,00;376,00;273,00;253,00;115,00;;4.123
14/10/2024;LÍNEA O;40,00;376,00;363,00;287,00;256;238;327;338;305;271;372;370;414;452;427,00;390,00;413,00;251,00;42,00;;5.932
14/10/2024;LÍNEA P;;;;1,00;15;568;497;517;511;494;607;601;638;555;586,00;460,00;484,00;242,00;19,00;;6.795
14/10/2024;LÍNEA T-A;244,00;783,00;894,00;894,00;755;954;1.168;1.189;1.289;1.274;1.572;1.643;1.865;1.828;1.809,00;1.633,00;1.388,00;1.131,00;253,00;;22.566
15/10/2024;LÍNEA 1;3.077,00;8.702,00;10.684,00;9.947,00;6.585;5.145;4.266;4.992;5.173;5.232;5.369;6.097;8.487;10.997;7.469,00;4.512,00;3.311,00;2.551,00;1.375,00;40,00;114.011
15/10/2024;LÍNEA 2;198,00;898,00;1.068,00;1.102,00;992;919;1.058;1.128;1.089;1.144;1.257;1.508;2.033;2.392;1.783,00;1.154,00;877,00;553,00;176,00;4,00;21.333
15/10/2024;LÍNEA A;17.869,00;50.853,00;64.328,00;56.918,00;34.844;28.971;25.468;26.409;30.104;30.420;35.194;38.726;60.429;87.312;57.882,00;31.405,00;21.681,00;16.865,00;8.808,00;42,00;724.528
15/10/2024;LÍNEA B;3.312,00;8.185,00;9.245,00;8.591,00;5.274;4.425;4.061;4.375;4.904;4.518;4.448;5.151;7.348;11.325;6.697,00;3.775,00;3.354,00;2.364,00;1.113,00;12,00;102.477
15/10/2024;LÍNEA H;219,00;638,00;528,00;297,00;180;112;104;133;114;69;49;70;117;81;35,00;37,00;28,00;11,00;7,00;;2.829
15/10/2024;LÍNEA J;1.466,00;2.593,00;2.382,00;2.142,00;1.451;972;796;817;864;688;557;520;678;205;349,00;280,00;293,00;90,00;40,00;;17.183
15/10/2024;LÍNEA K;2.407,00;2.733,00;2.652,00;2.300,00;1.595;1.258;997;1.115;1.272;902;721;718;994;888;577,00;478,00;527,00;237,00;98,00;2,00;22.471
15/10/2024;LÍNEA M;387,00;1.043,00;920,00;623,00;439;279;330;319;452;340;362;490;700;886;1.127,00;800,00;464,00;343,00;312,00;63,00;10.679
15/10/2024;LÍNEA O;246,00;1.537,00;1.776,00;1.975,00;1.174;1.148;684;1.034;1.033;1.125;938;1.072;1.583;1.882;1.275,00;1.006,00;831,00;885,00;253,00;10,00;21.467
15/10/2024;LÍNEA P;1.332,00;3.398,00;3.220,00;2.349,00;1.248;914;781;1.258;1.181;714;634;662;873;1.245;611,00;424,00;657,00;463,00;119,00;;22.083
15/10/2024;LÍNEA T-A;1.525,00;4.609,00;5.152,00;4.784,00;3.212;2.695;2.348;2.771;3.402;2.806;2.806;3.411;4.306;5.520;5.206,00;3.232,00;2.434,00;1.933,00;1.192,00;55,00;63.399
16/10/2024;LÍNEA 1;2.930,00;8.670,00;10.867,00;9.995,00;6.228;5.351;4.277;4.998;5.040;5.136;5.641;5.744;8.988;9.614;8.036,00;4.799,00;3.279,00;2.626,00;1.386,00;33,00;113.638
16/10/2024;LÍNEA 2;193,00;878,00;1.116,00;1.084,00;897;958;1.017;1.098;1.242;1.086;1.346;1.483;1.954;2.070;1.808,00;1.180,00;862,00;597,00;201,00;1,00;21.071
16/10/2024;LÍNEA A;17.370,00;50.645,00;64.573,00;57.395,00;35.110;29.117;24.958;26.502;30.320;29.596;35.349;39.195;65.175;85.439;59.023,00;32.442,00;21.958,00;17.618,00;9.280,00;48,00;731.113
16/10/2024;LÍNEA B;3.085,00;8.172,00;9.320,00;8.675,00;5.463;4.659;4.042;4.162;4.958;4.631;5.007;4.613;8.050;10.799;6.998,00;3.984,00;3.244,00;2.560,00;1.299,00;3,00;103.724
16/10/2024;LÍNEA H;209,00;593,00;497,00;305,00;179;145;110;129;108;69;33;74;80;69;41,00;27,00;42,00;16,00;5,00;;2.731
16/10/2024;LÍNEA J;1.465,00;2.535,00;2.413,00;2.166,00;1.305;995;701;798;891;726;536;298;639;617;447,00;301,00;247,00;131,00;56,00;2,00;17.269
16/10/2024;LÍNEA K;1.721,00;2.778,00;2.697,00;2.245,00;1.615;1.304;1.015;1.079;1.246;977;485;251;1.051;817;651,00;511,00;486,00;230,00;81,00;;21.240
16/10/2024;LÍNEA L;;;;;;77;80;78;85;108;52;69;62;61;;;;;;;672
16/10/2024;LÍNEA M;393,00;1.028,00;920,00;641,00;416;286;299;323;476;333;273;442;709;956;1.120,00;859,00;517,00;374,00;327,00;51,00;10.743
16/10/2024;LÍNEA O;256,00;1.546,00;1.725,00;1.961,00;1.031;1.209;781;918;1.026;999;939;1.016;1.446;1.642;1.400,00;1.056,00;807,00;996,00;290,00;13,00;21.057
16/10/2024;LÍNEA P;1.300,00;3.416,00;3.202,00;2.259,00;1.310;936;728;1.357;1.186;765;686;218;876;1.125;701,00;415,00;590,00;497,00;117,00;;21.684
16/10/2024;LÍNEA T-A;1.499,00;4.600,00;5.187,00;4.910,00;3.012;2.673;2.355;2.758;3.570;2.792;2.892;3.424;4.677;5.633;5.137,00;3.341,00;2.368,00;2.110,00;1.263,00;57,00;64.258
17/10/2024;LÍNEA 1;2.993,00;8.613,00;10.676,00;9.700,00;6.487;5.487;4.325;4.925;5.236;5.120;5.406;6.361;9.059;10.756;7.770,00;4.828,00;3.588,00;2.679,00;1.613,00;50,00;115.672
17/10/2024;LÍNEA 2;196,00;876,00;1.088,00;1.096,00;853;675;11;;783;1.049;1.236;1.504;2.039;2.170;1.836,00;1.234,00;1.004,00;631,00;204,00;10,00;18.495
17/10/2024;LÍNEA A;16.775,00;49.607,00;63.147,00;55.783,00;35.259;29.762;25.125;26.522;29.908;29.526;34.885;39.481;64.757;84.239;57.729,00;32.822,00;22.242,00;17.936,00;9.720,00;52,00;725.277
17/10/2024;LÍNEA B;3.082,00;8.110,00;9.203,00;8.219,00;5.431;4.658;4.116;4.266;4.737;4.428;4.719;5.098;8.424;11.212;6.877,00;4.269,00;3.528,00;2.530,00;1.272,00;9,00;104.188
17/10/2024;LÍNEA H;215,00;584,00;502,00;272,00;190;138;132;111;117;79;78;74;93;65;40,00;32,00;43,00;19,00;5,00;;2.789
17/10/2024;LÍNEA J;1.435,00;2.507,00;2.294,00;2.145,00;1.409;960;774;842;836;642;527;617;684;632;419,00;281,00;269,00;137,00;46,00;;17.456
