Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
12/01/2024;LÍNEA J;1.164;2.179;2.150;1.726;1.192;916;774;704;772;581;505;567;652;588;390;335;365;129;47;1;15.737
12/01/2024;LÍNEA K;2.126;2.701;2.626;2.066;1.523;1.324;1.094;1.087;1.212;982;894;853;1.000;1.009;778;527;543;313;103;;22.761
12/01/2024;LÍNEA L;;;;;3;174;228;290;230;189;235;245;259;280;;;;;;;2.133
12/01/2024;LÍNEA M;321;734;767;584;355;295;284;253;310;272;353;476;586;914;982;636;420;307;294;41;9.184
12/01/2024;LÍNEA O;198;803;1.211;999;639;509;434;468;510;421;441;620;828;986;710;594;424;472;173;16,00;11.456
12/01/2024;LÍNEA P;1.167;2.670;2.585;1.856;1.140;876;769;643;811;623;579;596;774;696;541;418;378;225;152;1;17.500
12/01/2024;LÍNEA T-A;1.103;2.822;3.682;3.175;2.301;1.913;1.779;1.826;2.051;1.931;2.189;2.630;3.535;4.395;3.808;2.578;1.694;1.339;1.108;48,00;45.907
13/01/2024;LÍNEA 1;1.943;4.456;5.283;5.634;4.295;3.833;3.769;4.262;5.096;5.316;5.294;4.630;4.206;3.680;3.812;3.450;2.594;2.366;1.321;45;75.285
13/01/2024;LÍNEA 2;128;548;593;748;627;670;784;913;1.179;1.180;1.100;1.038;891;904;933;799;525;399;172;5;14.136
13/01/2024;LÍNEA A;11.112;24.405;29.272;28.683;22.251;20.468;20.916;25.006;35.870;38.801;35.648;32.382;29.045;26.926;26.956;22.648;17.075;15.057;8.572;123;471.216
13/01/2024;LÍNEA B;2.056;3.969;4.476;4.344;3.651;3.457;3.553;3.996;5.227;5.269;4.864;4.734;4.277;3.891;4.022;3.449;2.639;1.974;1.116;21,00;70.985
13/01/2024;LÍNEA H;155,00;363,00;273,00;226,00;141;123;100;91;115;88;86;102;73;64;64,00;45,00;36,00;35,00;8,00;;2.188
13/01/2024;LÍNEA J;865;1.519;1.606;1.438;1.084;913;771;771;754;735;649;657;597;600;614;497;395;278;124;1;14.868
13/01/2024;LÍNEA K;1.812;2.504;2.311;1.972;1.415;1.158;1.141;1.108;1.196;1.103;1.085;1.024;1.338;1.394;958;834;801;486;249;1;23.890
13/01/2024;LÍNEA L;;;;;;268;328;334;352;360;303;357;373;494;;;;;;;3.169
13/01/2024;LÍNEA M;244;566;582;456;353;275;289;358;408;545;596;537;622;445;536;530;418;343;261;42;8.406
13/01/2024;LÍNEA O;165;601;765;785;538;478;433;611;689;603;574;577;596;565;531;478;452;417;211;9,00;10.078
13/01/2024;LÍNEA P;882;1.765;1.760;1.459;1.025;768;733;773;788;689;711;714;662;685;585;582;439;339;167;1;15.527
13/01/2024;LÍNEA T-A;928;2.098;2.520;2.569;1.982;1.795;1.816;2.078;2.563;2.956;2.842;2.704;2.549;2.255;2.524;2.118;1.711;1.601;1.032;72;40.713
14/01/2024;LÍNEA 1;460;1.605;1.666;1.750;1.721;2.032;2.348;2.159;2.181;2.478;2.586;2.267;2.577;2.225;2.611;2.226;2.297;1.819;265;;37.273
14/01/2024;LÍNEA 2;16;185;200;257;188;359;473;369;467;512;424;339;380;451;469;456;318;185;26;;6.074
14/01/2024;LÍNEA A;3.671;9.724;11.170;10.035;9.684;11.026;12.497;12.546;13.397;14.963;16.793;15.780;17.481;18.586;18.722;15.786;15.564;11.613;912;;239.950
14/01/2024;LÍNEA B;655;1.523;1.607;1.616;1.563;2.005;2.545;2.368;2.597;2.789;2.967;2.830;2.963;3.075;3.130;2.858;2.196;1.585;155;;41.027
14/01/2024;LÍNEA H;;;;;3;103;109;98;92;65;61;59;77;77;65;78,00;46,00;27,00;2,00;;962
14/01/2024;LÍNEA J;;;;;22;878;667;618;592;576;513;553;656;668;719;623;476;196;12;;7.769
14/01/2024;LÍNEA K;;;;;502;944;1.006;968;1.076;1.032;1.072;1.131;1.309;1.507;1.040;850;751;385;22;;13.595
